真实排名,原参谋排名,商品ID,商品标题,所属店铺,支付金额(元),支付件数,支付买家数,客单价,主图透出价格,核心卖点标签,营销文案标签,主图排版视觉风格,1.8米直达规格链接,商品详情标准链接,高清主图原图地址,对应本地主图文件名,主图完整OCR识别文案
32,32,837948013130,甜蜜睡眠朗月床垫偏硬护脊弹簧黄麻无胶水席梦思可拆透气家用卧室,甜蜜睡眠旗舰店,5862.6,3,2,"2,931.30",￥1181,护脊偏硬支撑 | 环保椰棕/黄麻 | 亲肤透气面料,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=837948013130&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=837948013130,https://img.alicdn.com/bao/uploaded/i3/2215897735682/O1CN01Yf6clFXR1yJ2R3rs_!!4611686018427380226-0-item_pic.jpg,837948013130.jpg,甜蜜睡眠丨朗月系列 家装节 Tianmishuimian 护脊撑腰硬床垫 政府补贴！ 立减 15% （告别腰酸背痛整垫可拆卸） 9折券 无门槛消费券（至高减150） 88VIP专享 Zzz 甜蜜睡眠 sweetsleepmattress 2件再享折上折，买越多省越多！ 综合补贴到手价： 政府 官方 店铺 至高省 1181 43% ￥ + + 补贴 立减 优惠 起 全国送货入户 赠大件运费险 花呗分期免息 365天免费囤货
33,33,1016986066309,派乐熊儿童专用薄弹簧床垫10cm青少年偏硬席梦思护脊学生家用15厚,PARELER BEAR旗舰店,5426.0,5,5,"1,085.20",未透出,护脊偏硬支撑 | 独立袋装弹簧,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1016986066309&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1016986066309,https://img.alicdn.com/bao/uploaded/i1/2219146481808/O1CN01jFKsNbeMHuF1chua_!!4611686018427383952-0-item_pic.jpg,1016986066309.jpg,派乐熊×专注儿童健康睡眠 1054颗专利儿童小弹簧 15% 政府补贴 因地区差异，补贴（优惠）信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 8/10/15CM薄弹簧床垫 专用 儿童专用加密独立袋弹簧
34,34,786030574869,ROZO华夫格席梦思护脊床垫国家补贴适中独立弹簧黄麻乳胶偏硬家用,rozo家具旗舰店,5174.76,5,5,"1,034.95",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 抗菌防螨健康,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=786030574869&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=786030574869,https://img.alicdn.com/bao/uploaded/i2/2939975400/O1CN01GIn4jhXXdwG2vH2e_!!4611686018427385576-2-item_pic.png,786030574869.jpg,ROZO? 秋季家装节 X 零胶水 加“硬”承托撑腰护脊 抗菌防螨|拒绝甲醛 实付满1500立减 ￥150 88VIP消费券 实付满480立减 ￥60 88VIP消费券 政府补贴 12% 至高立减约 官方 下单立减 15% 45% 活动 限时优惠券89 咨询客服 全网低价 正品保障·售后无忧·买贵退差价
35,35,908411378814,铂马仕S黄麻床垫家用卧室薄儿童加硬垫可拆洗无甲醛双人椰棕乳胶,铂马仕旗舰店,5135.22,5,5,"1,027.04",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=908411378814&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=908411378814,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01K1yAy9668AI2vH2e_!!4611686018427386424-0-item_pic.jpg,908411378814.jpg,铂马仕 家装节 POMOSER 护脊S黄麻高透气 全拆设计全家人适用的床垫 POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 200天真正免费试睡
36,37,562872250776,席梦思床垫硬垫家用软硬双面椰棕五星酒店薄款15cm厚乳胶弹簧定制,优群家居正品商城,4815.0,3,3,"1,605.00",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=562872250776&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=562872250776,https://img.alicdn.com/bao/uploaded/i4/3346353128/O1CN01C7Eekyyfv1C2vH2e_!!3346353128.jpg,562872250776.jpg,极有家 超级立减 JIYOUJIA.COM 奢享五星优质睡眠 100天免费试睡 塌陷包赔 五年质保支持定制 拒绝甲醛胶水无异味 10 顺丰速发 % 官方优惠 下单立减 （详情咨询客服）
37,38,1050149631481,国家补贴品味布帆乳胶独立弹簧床垫黄麻1.8米 席梦思双人家用软硬,品味布帆家居旗舰店,4698.38,6,5,939.68,未透出,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1050149631481&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1050149631481,https://img.alicdn.com/bao/uploaded/i1/2222488681261/O1CN01qXPcZqxexHI21stE_!!4611686018427386669-0-item_pic.jpg,1050149631481.jpg,品味布帆 ? 家装节 权威检测 认证产品 AAAAA质量I睡得放心 品味布筑 双重补贴-下单立减 政府补贴 官方补贴 立减15% 立减12% 详情咨询客服 详情咨询客服 到手价 120天免费试睡 88VIP专享消费券 598 20年超长质保 48小时快速发货 100天保价 夫 3期花呗免息 免费仓储 送货入户无需安装 1.8×2米经典A款
38,39,743609626271,派乐熊全拆儿童专用薄弹簧床垫青少年偏硬席梦思护脊学生家用15cm,派乐熊旗舰店,4684.0,3,3,"1,561.33",未透出,护脊偏硬支撑,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=743609626271&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=743609626271,https://img.alicdn.com/bao/uploaded/i3/2215984907648/O1CN01RZh87Nya4SG1chua_!!4611686018427381120-0-item_pic.jpg,743609626271.jpg,派乐熊×专注儿童健康睡眠 全拆儿童薄款弹簧床垫 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 全拆软硬睡感可调节 A类 纯棉 12-15CM儿童薄弹簧床垫
39,40,1007724840079,睡眠骑士S1 全拆床垫0胶水家用席梦思天然黄麻护脊酷布四叶草弹簧,睡眠骑士床垫企业店,4534.0,2,2,"2,267.00",未透出,护脊偏硬支撑 | 环保椰棕/黄麻,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=1007724840079&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1007724840079,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01MvNbmRTh29C2vH2e_!!720743073.jpg,1007724840079.jpg,SLEEP 官方优选 睡眠骑士 KNIGHT 整张床垫O胶水 S1全拆|材料可见 林 睡眠骑士 23-25CM 现货速发顺丰送到家 SF 0胶全拆 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
40,41,642438274024,ROZO席梦思床垫护脊家用记忆棉乳胶弹簧椰棕双面五星级酒店22cm厚,rozo家具旗舰店,4147.85,3,3,"1,382.62",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=642438274024&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=642438274024,https://img.alicdn.com/bao/uploaded/i3/2939975400/O1CN01wfkpSeSbQwB2vH2e_!!4611686018427385576-2-item_pic.png,642438274024.jpg,ROZO°X J 秋季家装节 黑金系列 双螺旋弹簧床垫 软硬适中丨睡得轻松 实付满1500立减 150 夫 88VIP消费券 实付满480立减 ROZO 60 夫 88VIP消费券 政府补贴 12% 至高立减约 官方 下单立减 15% 45% 活动 叠加使用优惠券 咨询客服
41,42,595066893675,铂马仕席梦思床垫乳胶弹簧家用双人软垫卧室酒店厚垫1.8m可拆,铂马仕旗舰店,4136.0,3,3,"1,378.67",￥500,护脊偏硬支撑 | 天然乳胶 | 智能调节深睡,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=595066893675&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=595066893675,https://img.alicdn.com/bao/uploaded/i4/2165873208/O1CN01dq4kYKUg4sE2vH2e_!!4611686018427386424-0-item_pic.jpg,595066893675.jpg,铂马仕 家装节 POMOSER 双核护脊支撑 软硬双核心深睡系统 铂马仕 POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 88折消费券 惊喜红包 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 100天真正免费试睡
42,43,973610633655,派乐熊全拆儿童床垫可拆卸0胶水工艺调节软硬护脊独立弹簧席梦思,派乐熊旗舰店,3999.9,2,2,"1,999.95",未透出,护脊偏硬支撑,常规日销,产品材质分层结构拆解型,https://detail.tmall.com/item.htm?id=973610633655&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=973610633655,https://img.alicdn.com/bao/uploaded/i1/2215984907648/O1CN01rz2h2n26MqGB4lhLu_!!4611686018427381120-0-item_pic.jpg,973610633655.jpg,派乐熊×专注儿童健康睡眠 全拆双层护脊弹簧床垫 派乐熊 Pareler Bear A类 全拆软硬睡感可调节 纯棉 四叶形0胶工艺酷布袋弹簧
43,44,788457904913,加密独立袋弹簧偏硬护脊床垫黄麻席梦思乳胶硬20cm记忆棉床垫,CEFALU旗舰店,3839.0,4,3,"1,279.67",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?id=788457904913&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=788457904913,https://img.alicdn.com/bao/uploaded/i3/1692273605/O1CN01bj9cwY5LCnC2vH2e_!!4611686018427382725-0-item_pic.jpg,788457904913.jpg,® 甄选 CEFALU× 超级立减 尖货 OTIIIN 1258个加密小弹簧 护脊撑腰睡感可选 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
44,45,532960004497,棕葆王国天然环保黄麻椰棕床垫儿童3e棕1.35米榻榻米棕榈加硬神器,棕葆王国品牌店,3509.0,4,3,"1,169.67",未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期,促销大字报冲击型,https://detail.tmall.com/item.htm?id=532960004497&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=532960004497,https://img.alicdn.com/bao/uploaded/i1/251231227/O1CN01EHsGlH6hScC2vH2e_!!251231227.jpg,532960004497.jpg,超级立减 棕葆王国 可拆洗 环保无胶 保护脊椎为你撑腰 S型环保精细黄麻有异味退全款 立减 活动优惠 软硬两用 体验双重睡感 10% 免费试睡 保 20年不塌陷 花呗3期免息 顺丰送货入户
45,46,769966237344,月光之家乳胶弹簧床垫1.8米家用软垫席梦思 1.5m记忆棉黄麻棕垫硬,moonlightfamily旗舰店,3455.0,2,2,"1,727.50",未透出,天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 热销爆款背书 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=769966237344&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=769966237344,https://img.alicdn.com/bao/uploaded/i4/919851856/O1CN01hfneo6H41oG32pKq_!!4611686018427384656-0-item_pic.jpg,769966237344.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 店铺销冠PLUS系列 软硬齐全厚度21-25CM Moonligu family 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
46,48,1028454725472,儿童护脊黄麻乳胶折叠床垫家用环保席梦思高低床天然椰棕1.2m定制,铂马仕旗舰店,3358.59,4,3,"1,119.53",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1028454725472&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1028454725472,https://img.alicdn.com/bao/uploaded/i1/2165873208/O1CN01x7dE7RRZ98G2vH2e_!!4611686018427386424-0-item_pic.jpg,1028454725472.jpg,铂马仕 家装节 POMOSER 儿童折叠黄麻垫 榻榻米可用便捷收纳 轻松搬运 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
47,49,714642283854,派乐熊全拆儿童床垫0胶水工艺酷布独立袋弹簧青少年护脊硬席梦思,派乐熊儿童床垫品牌店,3269.76,2,1,"3,269.76",未透出,护脊偏硬支撑 | 独立袋装弹簧,常规日销,标准电商综合展示型,https://detail.tmall.com/item.htm?id=714642283854&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=714642283854,https://img.alicdn.com/bao/uploaded/i1/371424161/O1CN01ZhOkB01gbnB78gsut_!!371424161.jpg,714642283854.jpg,派乐熊×专注儿童健康睡眠 全拆1480颗四叶形0胶弹簧 派乐熊 Pareler Bear A类 全拆软硬睡感可调节 纯棉 儿童专用0胶加密酷布弹簧
48,50,15292785950,月光之家天然纯乳胶床垫超薄可全拆分区按摩软榻榻米1.8米可定制,moonlightfamily旗舰店,3149.0,2,2,"1,574.50",未透出,天然乳胶 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=15292785950&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=15292785950,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN01Ruhi3JVbMXK32pKq_!!4611686018427384656-0-item_pic.jpg,15292785950.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 全拆可洗纯乳胶床垫 适中偏软厚度6-13CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
49,51,826540116802,睡眠骑士五星级酒店床垫双面20cm厚乳胶席梦思硬垫加硬家用记忆棉,睡眠骑士床垫企业店,3120.0,2,1,"3,120.00",未透出,护脊偏硬支撑 | 天然乳胶 | 零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=826540116802&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=826540116802,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01Xdj6rv1YZUESn9IB0_!!720743073.jpg,826540116802.jpg,"SLEEP"""" 睡眠骑士 官方优选 KNIGHT FIVE-STAR HOTEL MATTRESS 五星护脊弹簧床垫 厚度：20/22/24CM 15-24CM 现货速发顺丰送到家 SF 加硬护脊 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家"
50,52,587602685704,全拆软硬薄独立弹簧床垫高箱10cm15公分含乳胶记忆棉家用榻榻米,布莱轩尼旗舰店,3091.0,2,2,"1,545.50",未透出,天然乳胶 | 零压记忆棉,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=587602685704&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=587602685704,https://img.alicdn.com/bao/uploaded/i4/1104379506/O1CN017BoiRhUnpGC1chua_!!4611686018427387506-0-item_pic.jpg,587602685704.jpg,布莱轩尼 天猫家装节 10-15cm 软硬可调 全拆薄弹簧床垫 家装节立减12% 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
51,53,829143171600,铂马仕弹簧床垫乳胶席梦思家用软垫双人卧室椰棕厚硬垫单人1.8米,铂马仕旗舰店,3081.16,2,2,"1,540.58",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=829143171600&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=829143171600,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN011b3iree9dLB1chua_!!4611686018427386424-0-item_pic.jpg,829143171600.jpg,铂马仕 家装节 POMOSER 德国品质 良芯好床垫 1886颗专利迷你感应小弹簧 限时领取 惊喜红包 88折消费券 不止9折至高减500元 88VIP可用 POMOSER 双重补贴拍下立减！ 政府补贴 官方补贴 立减15% 立减12% 详见支付页面 可叠加店铺券 官方 120天真正免费试睡 咨询客服抢舒睡枕X2 送 Free 抽检认证 48小时顺丰速发S 发货时效 限部分 尺寸地区
52,54,1046477892506,麻师傅20cm厚独立弹簧床垫席梦思家用1.8m卧室含乳胶记忆棉软黄麻,麻师傅家具旗舰店,3051.95,3,2,"1,525.97",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1046477892506&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1046477892506,https://img.alicdn.com/bao/uploaded/i2/2217706005293/O1CN015ktxVIzZJuC1chua_!!4611686018427380525-0-item_pic.jpg,1046477892506.jpg,麻师傅 ? 20-22cm厚弹簧床垫 偏硬护脊版 政府补贴 15% + 麻师傅 家装节 MASHFU麻师傅 12% 72 小时 久坐办公族 顺丰发货
53,55,800087983555,悠梦思乳胶薄款床垫8cm高箱床独立袋弹簧14cm席梦思黄麻榻榻米垫,yarges悠梦思旗舰店,3050.45,3,3,"1,016.82",未透出,天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=800087983555&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=800087983555,https://img.alicdn.com/bao/uploaded/i2/2215907225135/O1CN01iwa2GbojoxL2vH2e_!!4611686018427383343-0-item_pic.jpg,800087983555.jpg,YARGES悠梦思 8cm薄弹簧床垫 101天真正免费试睡 88 活动下单即享 折 88消费券 （立即抢购无需凑单） 限时立享至高减150元 YARGES悠梦思 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 99 舒睡枕x2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 1365天免费仓储
54,56,692623573466,记忆棉盒子压缩席梦思弹簧乳胶床垫软垫家用卧室硬垫官方十大名牌,梦织葆家居品牌店,2992.0,5,5,598.40,未透出,护脊偏硬支撑 | 天然乳胶 | 零压记忆棉 | 抗菌防螨健康 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=692623573466&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=692623573466,https://img.alicdn.com/bao/uploaded/i3/2265426359/O1CN01IjZtnK1wqTi7EWFzv_!!2265426359.jpg,692623573466.jpg,"""""weavei 梦织葆 超级88 Leep 限时活动 优惠抢不停 免费试睡100天 卷包床垫护脊防塌陷 厚款20-24CM 薄款12-14CM MATTRESS 两种弹簧 可选 抑菌防螨亲肤面料 拒绝甲醛胶水无异味 官方活动 叠加优惠满300减60 12% 立减 180天免费仓储 送货入户 保价30天"
55,57,686760000635,睡眠骑士薄款弹簧床垫15cm软垫乳胶席梦思双面家用记忆棉椰棕硬垫,睡眠骑士床垫企业店,2985.84,2,2,"1,492.92",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=686760000635&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=686760000635,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01gbY1gS1YZUETBzijE_!!720743073.jpg,686760000635.jpg,"SLEEP"""" 睡眠骑士 官方优选 KNIGHT FIVE-STARHOTEL MATTRESS 薄款独立弹簧床垫 厚度：10/12/15CM 9-15CM 现货速发顺丰送到家 SF 酒店睡感 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家"
56,58,623410616784,月光之家五星级酒店床垫家庭用迷你独立弹簧高档双人席梦思1.8米,moonlightfamily旗舰店,2869.0,1,1,"2,869.00",未透出,护脊偏硬支撑,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=623410616784&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=623410616784,https://img.alicdn.com/bao/uploaded/i2/919851856/O1CN015RusymABuDD32pKq_!!4611686018427384656-0-item_pic.jpg,623410616784.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 3180个弹簧强力支撑 软硬齐全厚度24-28CM hpuno nybrpuoG ( 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
57,59,714909821260,铂马仕10cm厚乳胶床垫独立袋薄弹簧床垫硬15公分软垫席梦思高箱床,铂马仕旗舰店,2778.0,2,2,"1,389.00",￥500,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=714909821260&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=714909821260,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01ArQuBqLsokL2vH2e_!!4611686018427386424-0-item_pic.jpg,714909821260.jpg,铂马仕 家装节 POMOSER 德国品质撑腰护脊 10CM薄款弹簧床垫 AlvarAalto POMOSER POMOSER MANME 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
58,60,692763933781,【国补】压缩卷包独立袋弹簧记忆棉席梦思乳胶20cm护脊厚床垫,CEFALU旗舰店,2430.0,2,2,"1,215.00",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 零压记忆棉 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?id=692763933781&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=692763933781,https://img.alicdn.com/bao/uploaded/i4/1692273605/O1CN01yC7izi4zBvF2vH2e_!!4611686018427382725-0-item_pic.jpg,692763933781.jpg,超级立减 甄选 CEFALU 尖货 面料可拆 内材可见 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
59,61,979681631360,睡眠骑士自在可调节全拆床垫独立袋弹簧1.8米0胶水家用卧室软垫子,睡眠骑士床垫企业店,2398.0,1,1,"2,398.00",未透出,护脊偏硬支撑 | 独立袋装弹簧,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=979681631360&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=979681631360,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01ezy6FO1YZUCf1Zd1V_!!720743073.jpg,979681631360.jpg,SLEEP° 睡眠骑士 官方优选 KNIGHT 高支撑3016个弹簧 0胶床垫可拆卸设计 SLEEPKNIGHT LUXURY MATTRESS 22-28CM 200天免费试睡 120年超长质保 全拆床垫 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
60,62,965421153017,麻师傅独立弹簧床垫20cm厚护脊硬黄麻含乳胶记忆棉席梦思十大名牌,麻师傅家具旗舰店,2237.14,2,2,"1,118.57",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=965421153017&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=965421153017,https://img.alicdn.com/bao/uploaded/i3/2217706005293/O1CN01CrfuuQ7CriG1chua_!!4611686018427380525-0-item_pic.jpg,965421153017.jpg,麻师傅 ? 20-22cm厚弹簧床垫 3cmS形护脊黄麻 政府补贴 15% + 家装节 12% MASHIFU麻师傅 72 小时 中青年护脊/老人/孕妇 顺丰发货
61,63,994995979658,麻师傅天然S形黄麻薄床垫10cm厚全拆加硬护腰脊儿童老人家用椰棕,麻师傅家具旗舰店,2218.0,1,1,"2,218.00",未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=994995979658&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=994995979658,https://img.alicdn.com/bao/uploaded/i3/2217706005293/O1CN01m59pEWubnMF1chua_!!4611686018427380525-0-item_pic.jpg,994995979658.jpg,麻师傅 ? 6-20cm黄麻床垫 偏硬护脊腰轻松 政府补贴 15% 家装节 12% 72小时 中青年/老人/孕童 顺丰发货
