排名,商品ID,商品标题,店铺,主图透出价格,核心材质与卖点,营销活动与服务,视觉版式风格,1.8米规格直达链接,标准商品链接,主图原图高清链接,本地主图文件名,生意参谋支付金额,支付件数,支付买家数,客单价,主图OCR完整文案
83,773925664034,薄款独立袋10cm矮弹簧记忆棉席梦思黄麻偏硬护脊薄床垫家用可拆洗,CEFALU旗舰店,未透出,护脊偏硬支撑 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=773925664034,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=773925664034,https://img.alicdn.com/bao/uploaded/i2/1692273605/O1CN015qkDip7OQ3L2vH2e_!!4611686018427382725-0-item_pic.jpg,083_773925664034.jpg,"1,154.00 0.10%",1 0.03%,1,"1,154.00",® 超级立减 甄选 CEFALU 尖货 10-14cm薄款弹簧床垫 软硬有度睡感可选 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
84,984636395043,铂马仕薄乳胶床垫独立弹簧软垫记忆棉席梦思椰棕硬垫家用双人1.8m,铂马仕旗舰店,￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=984636395043,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=984636395043,https://img.alicdn.com/bao/uploaded/i1/2165873208/O1CN01ByTxTgzBo1E2vH2e_!!4611686018427386424-0-item_pic.jpg,084_984636395043.jpg,"1,145.00 0.10%",1 0.03%,1,"1,145.00",铂马仕 家装节 POMOSER 120天免费试睡 11-14CM强支撑薄款弹簧床垫 惊喜红包 88折消费券 不止9折至高减500元 88VIP可用 双重补贴拍下立减！ POMOSER POMOSER 政府补贴 官方补贴 立减15% 立减12% 详见支付页面 可叠加店铺券 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
85,987240660508,铂马仕薄款乳胶弹簧床垫席梦思独立软垫记忆棉床垫家用双人19cm,铂马仕旗舰店,￥500,天然乳胶 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=987240660508,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=987240660508,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01HJ96ZBs0rsH2vH2e_!!4611686018427386424-0-item_pic.jpg,085_987240660508.jpg,"1,118.00 0.10%",1 0.03%,1,"1,118.00",铂马仕 家装节 POMOSER 1886颗专利迷你弹簧 mUSE 荣获美国缪斯MUSE设计金奖 DESICN AWARDS POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 120天真正免费试睡
86,1056213868269,品味布帆家用席梦思软垫记忆棉乳胶独立袋弹簧厚床垫双人酒店可选,品味布帆家居旗舰店,未透出,天然乳胶 | 独立袋装弹簧 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1056213868269,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1056213868269,https://img.alicdn.com/bao/uploaded/i4/2222488681261/O1CN01UrLnkvkop6J21stE_!!4611686018427386669-0-item_pic.jpg,086_1056213868269.jpg,"1,034.59 0.09%",1 0.03%,1,"1,034.59",品味布帆 ? 家装节 星级睡眠专享 偏软舒适·静音入眠 品味布机 双重补贴-下单立减 政府补贴 官方补贴 立减15% 立减12% 详情咨询客服 详情咨询客服 到手价 120天免费试睡 88VIP专享消费券 869 20年超长质保 拒绝甲醛 塌陷包赔 100天保价 ￥ 3期花呗免息 免费仓储 送货入户无需安装 1.8×2米舒睡A款
87,40585578946,铂马仕天然椰棕床垫乳胶硬棕垫席梦思护脊1.5m1.8米折叠定做,铂马仕旗舰店,￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型 | 产品材质分层结构拆解型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40585578946,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=40585578946,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN013KV7livukEB1chua_!!4611686018427386424-0-item_pic.jpg,087_40585578946.jpg,983.04 0.08%,1 0.03%,1,983.04,铂马仕 家装节 POMOSER S精细黄麻护脊 面层可拆拒绝甲醛胶水 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 单品直降约 尺寸地区 37% 100天真正免费试睡
88,997397669549,政府补贴悠梦思S形黄麻全拆床垫1.8米1.5m儿童老人护脊硬宿舍薄垫,yarges悠梦思旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=997397669549,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=997397669549,https://img.alicdn.com/bao/uploaded/i2/2215907225135/O1CN01Qy1Q2gSOZ2F2vH2e_!!4611686018427383343-0-item_pic.jpg,088_997397669549.jpg,963.30 0.08%,1 0.03%,1,963.30,YARGES悠梦思 全拆“S型”黄麻床垫 YARGES 88 活动下单即享 折 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 舒睡枕x2 现货下单顺丰速发 拒绝塌陷 限部分 尺寸地区 。免费送货到家 分期免息 盒365天免费仓储
89,704696475115,布莱轩尼10-15cm薄全拆床垫卧室偏硬黄麻席梦思矮弹簧家用榻榻米,布莱轩尼旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=704696475115,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=704696475115,https://img.alicdn.com/bao/uploaded/i3/1104379506/O1CN01Z45jUrt2nqD1chua_!!4611686018427387506-0-item_pic.jpg,089_704696475115.jpg,922.00 0.08%,1 0.03%,1,922.00,布莱轩尼 天猫家装节 10-15cml 偏硬护脊 全拆薄弹簧床垫 家装节立减12% 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
90,1053690840174,悠梦思全拆S型黄麻床垫国家补贴乳胶1.8米儿童老人护脊10cm硬椰棕,yarges悠梦思旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1053690840174,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1053690840174,https://img.alicdn.com/bao/uploaded/i1/2215907225135/O1CN01gyCTPaiLrNG2vH2e_!!4611686018427383343-0-item_pic.jpg,090_1053690840174.jpg,871.51 0.07%,1 0.03%,1,871.51,YARGES悠梦思/舒脊 舒脊好梦 腰酸终结者 一张全家人可睡的床垫 Persiana Cine-no 下单入会 88 抢舒睡枕*2 88消费券 活动下单即享 折(立即抢购无需凑单) 送 限时立享至高减150元 政府 15% 惊喜红包 官方 12% 补贴 立减 88VIP可用 + + 补贴随时结束不补差价 官方补贴限时优惠不补差价 （下单立享优惠） *详情咨询客服* 天猫家装节 现货下单顺丰速发 咨询客服享惊喜 （限部分尺寸地区） 拒绝甲醛 免费送货到家10分期免息1盒365天免费仓储
91,676138544613,记忆棉薄款床垫凝胶慢回弹榻榻米床垫子软垫家用学生宿舍褥子海绵,睡眠骑士床垫企业店,未透出,零压记忆棉 | 亲肤透气面料,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676138544613,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676138544613,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN016Pf3TV1YZUESXvaYO_!!720743073.jpg,091_676138544613.jpg,811.00 0.07%,1 0.03%,1,811.00,SLEEP° 睡眠骑士 官方优选 KNIGHT 凝胶记忆棉薄款软垫 200天免费试睡 3-10cm 200天免费试睡 20年超长质保 透气薄垫 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
92,1056256518394,品味布帆薄款乳胶弹簧床垫记忆棉席梦思黄麻12cm15厘米厚软硬可选,品味布帆家居旗舰店,未透出,天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1056256518394,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1056256518394,https://img.alicdn.com/bao/uploaded/i1/2222488681261/O1CN01BJBpa8v8fgL21stE_!!4611686018427386669-0-item_pic.jpg,092_1056256518394.jpg,807.04 0.07%,1 0.03%,1,807.04,品味布帆 ? 家装节 薄款独袋弹簧垫 12/15cm厚可选 双重补贴下单立减 品味布机 政府补贴 官方补贴 立减15% 立减12% + 详情咨询客服 详情咨询客服 到手价 120天免费试睡 88VIP专享消费券 738 20年超长质保 拒绝甲醛 塌陷包赔 100天保价 夫 3期花呗免息 免费仓储 送货入户无需安装 1.8×2米薄垫A款
93,922386927791,政府补贴悠梦思乳胶弹簧床垫席梦思精细S黄麻1.8米1.5m卧室租房厚,yarges悠梦思旗舰店,未透出,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=922386927791,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=922386927791,https://img.alicdn.com/bao/uploaded/i4/2215907225135/O1CN01OXefH3OM9lE2vH2e_!!4611686018427383343-0-item_pic.jpg,093_922386927791.jpg,803.00 0.07%,1 0.03%,1,803.00,YARGES悠梦思 不贵但真的好 101天真正免费试睡 88 YARGES|悠梦思 折 活动下单即享 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 舒睡枕×2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 盒365天免费仓储
94,997467867127,麻师傅全拆S形黄麻薄床垫10cm厚老人儿童加硬护腰脊椰棕榈榻榻米,麻师傅舒梦专卖店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=997467867127,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=997467867127,https://img.alicdn.com/bao/uploaded/i1/2221247863396/O1CN01z8AzZspW2eD1chua_!!4611686018427386468-0-item_pic.jpg,094_997467867127.jpg,761.45 0.06%,1 0.03%,1,761.45,麻师傅 ? 6-20cm黄麻床垫 偏硬护脊腰轻松 政府补贴 15% 家装节 12% 拒绝 下单赠送大件运费险 甲醛 中青年/老人/孕童
95,1081728080567,派乐熊学生宿舍专用床垫90cmx200cm上下铺单人记忆棉软85cmx190cm,PARELER BEAR旗舰店,未透出,零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1081728080567,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1081728080567,https://img.alicdn.com/bao/uploaded/i1/2219146481808/O1CN01iHMSxiKAErH1chua_!!4611686018427383952-0-item_pic.jpg,095_1081728080567.jpg,674.84 0.06%,3 0.10%,3,224.95,PARELER BEAR 专为宿舍睡眠 新做的记忆棉床垫 15% 政府补贴 因地区差异，补贴（优惠）信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 新升级学生宿舍记忆棉床垫 30天免费试睡 4年质保 90天仓储 免费仓储
96,17048177986,加硬天然S形黄麻床垫家用儿童老人护腰脊10cm薄榻榻米椰棕含乳胶,布莱轩尼旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=17048177986,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=17048177986,https://img.alicdn.com/bao/uploaded/i3/1104379506/O1CN01121InMUJhlF1chua_!!4611686018427387506-0-item_pic.jpg,096_17048177986.jpg,615.00 0.05%,1 0.03%,1,615.00,布莱轩尼 天猫家装节 硬弹黄麻床垫 6cm-20cm 家装节立减12% 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
99,1067750986444,月光之家学生宿舍床垫上下铺专用薄垫单人0.9m软垫子记忆棉可拆洗,moonlightfamily旗舰店,未透出,零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1067750986444,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1067750986444,https://img.alicdn.com/bao/uploaded/i2/919851856/O1CN01urdGd26nwXK32pKq_!!4611686018427384656-0-item_pic.jpg,099_1067750986444.jpg,304.00 0.03%,1 0.03%,1,304.00,学生宿舍专用床垫 轻便小巧便携搬运 赠 手提收纳袋 外套可拆洗 送 晒宿舍照片送护颈记忆枕 30天 记忆棉薄垫学生宿舍床优选 免费试睡
100,663753403176,moonlightfamily 床垫优惠专拍链接,moonlightfamily旗舰店,未透出,基础常规款,免费试睡保障 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=663753403176,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=663753403176,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN01Er5mEC1Pa5p8dAg75_!!0-item_pic.jpg,100_663753403176.jpg,300.00 0.03%,300 10.05%,1,300.00,拒绝甲醛 UKAS MANAGEMENT SYSTEMS Moonlight family Moonlightfamily Moonlight family 45天免试睡 发货时效 官方 限部分尺寸及地区 现货闪发/欧盟环保 抽检认证
121,1053628373215,【0.01元锁定多件优惠折上折】甜蜜睡眠床垫专属特权 单拍不发货,甜蜜睡眠旗舰店,未透出,基础常规款,常规销售,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1053628373215,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1053628373215,https://img.alicdn.com/bao/uploaded/i1/2215897735682/O1CN01nXnZ0u1rqPaVzcC2d_!!4611686018427380226-0-item_pic.jpg,121_1053628373215.jpg,0.01 0.00%,1 0.03%,1,0.01,*本链接不发实物，仅保留优惠资格 0.01元预订折上折 买越多省越多 优惠保留有效期3个月 甜蜜睡眠 Zzz sweetsleepmattress
124,566735041553,原生黄麻床垫华夫格纯棉乳胶偏硬席梦思优群护脊折叠定制1.5m棕垫,优群家居正品商城,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 抗菌防螨健康,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=566735041553,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=566735041553,https://img.alicdn.com/bao/uploaded/i2/3346353128/O1CN01SbGGGrw88uI2vH2e_!!3346353128.jpg,124_566735041553.jpg,0.00 0.00%,0 0.00%,0,0.00,超级立减 极有家 JIYOUJIA.COM 科学支撑撑腰护脊 进口黄麻抑菌防螨 塌陷包赔 五年质保支持定制 拒绝甲醛胶水无异味 10 顺丰速发 % 官方优惠 下单立减 （详情咨询客服）
125,567446951949,青少年席梦思1.5m独立弹簧1.2米软硬两用天然椰棕垫儿童护脊床垫,优群家居正品商城,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 抗菌防螨健康 | 双面双睡感/可拆洗,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=567446951949,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=567446951949,https://img.alicdn.com/bao/uploaded/i4/3346353128/O1CN01TH4w67fnbYE2vH2e_!!3346353128.jpg,125_567446951949.jpg,0.00 0.00%,0 0.00%,0,0.00,极有家 超级立减 JIYOUJIA.COM 儿童专用弹簧床垫 双重防螨安全守护 塌陷包赔 五年质保支持定制 拒绝甲醛胶水无异味 10 顺丰速发 % 官方优惠 下单立减 （详情咨询客服）
127,577783543121,睡眠骑士弹簧床垫1.5米1.8酒店乳胶椰棕软硬双面席梦思硬垫经济型,睡眠骑士床垫企业店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=577783543121,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=577783543121,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN01tiIqFq1YZUENkp1kW_!!720743073.jpg,127_577783543121.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP° 睡眠骑士 官方优选 KNIGHT 20年不塌陷 独立弹簧款22cm/24cm厚 22CM 200天免费试睡|20年超长质保 经济适用 现货速发顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
128,617195410423,睡眠骑士盒子床垫压缩卷包席梦思 独立弹簧软垫酒店乳胶1.8米家用,睡眠骑士床垫企业店,未透出,天然乳胶 | 智能调节深睡,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=617195410423,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=617195410423,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01OJXYIa1YZUESqycXi_!!720743073.jpg,128_617195410423.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP. 睡眠骑士 官方优选 KNIGHT 智能床专用床垫 装进盒子里面的床垫 Sleep Knight 睡眠骑士星级品质 15/23CM 200天免费试睡 |20年超长质保 盒子床垫 现货速发顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
129,626297496804,月光之家高端床垫7cm按摩乳胶家用五星级酒店睡感独立弹簧双人1.8,moonlightfamily旗舰店,未透出,天然乳胶 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=626297496804,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=626297496804,https://img.alicdn.com/bao/uploaded/i2/919851856/O1CN01bQxpKqjYUaL32pKq_!!4611686018427384656-0-item_pic.jpg,129_626297496804.jpg,0.00 0.00%,0 0.00%,0,0.00,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 7CM加厚按摩乳胶 软硬双面厚度30CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
130,638853226945,优群席梦思床垫家用软垫软硬两用椰棕1.8m酒店硬垫厚乳胶独立弹簧,优群家居正品商城,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=638853226945,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=638853226945,https://img.alicdn.com/bao/uploaded/i3/3346353128/O1CN01i7WyyJRS9eG2vH2e_!!3346353128.jpg,130_638853226945.jpg,0.00 0.00%,0 0.00%,0,0.00,极有家 超级立减 JIYOUJIA.COM 5cm乳胶全家适用 100天免费试睡 塌陷包赔 五年质保支持定制 拒绝甲醛胶水无异味 10 顺丰速发 % 官方优惠 下单立减 （详情咨询客服）
131,642344219408,适用于宜家汉尼斯沙发床床垫可折叠黄麻椰棕乳胶坐卧两用1.6*2m,棕葆王国品牌店,未透出,天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期,促销大字报冲击型 | 产品材质分层结构拆解型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=642344219408,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=642344219408,https://img.alicdn.com/bao/uploaded/i1/251231227/O1CN01ZSJ67ktpUxG2vH2e_!!251231227.jpg,131_642344219408.jpg,0.00 0.00%,0 0.00%,0,0.00,超级立减 棕葆王国 汉尼斯专用床垫 101天免费试睡 S型环保精细黄麻有胶水退全款 立减 活动优惠 垫层内材尺寸支持定制 10% 免费试睡 保 20年不塌陷 花呗3期免息 顺丰送货入户
132,642436132867,5cm乳胶席梦思五星酒店双人床垫独立弹簧双层加厚1.8米超软垫椰棕,铂马仕旗舰店,￥500,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=642436132867,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=642436132867,https://img.alicdn.com/bao/uploaded/i4/2165873208/O1CN01SNiX0RJpkFH2vH2e_!!4611686018427386424-0-item_pic.jpg,132_642436132867.jpg,0.00 0.00%,0 0.00%,0,0.00,铂马仕 家装节 POMOSER 星级酒店睡感 POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 88折消费券 惊喜红包 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
133,667156597347,梦织葆独立弹簧席梦思偏硬护脊床垫乳胶黄麻椰棕家用官方十大品牌,梦织葆家居品牌店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 抗菌防螨健康 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=667156597347,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=667156597347,https://img.alicdn.com/bao/uploaded/i1/2265426359/O1CN01Gv2KuXYqPGI2vH2e_!!2265426359.jpg,133_667156597347.jpg,0.00 0.00%,0 0.00%,0,0.00,weavei 梦织葆 超级88 eep 限时活动优惠抢不停 免费试睡100天 偏硬护脊有效承托 抑菌防螨亲肤面料 拒绝甲醛胶水无异味 官方活动 叠加优惠满300减60 12% 立减 180天免费仓储 送货入户 保价30天
136,693160632302,天然黄麻棕垫环保3e椰棕床垫儿童榻榻米折叠家用加硬护脊定制薄款,棕葆王国品牌店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=693160632302,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=693160632302,https://img.alicdn.com/bao/uploaded/i2/251231227/O1CN01fH0gKozg1zG2vH2e_!!251231227.jpg,136_693160632302.jpg,0.00 0.00%,0 0.00%,0,0.00,超级立减 棕葆王国 可拆洗 环保无胶 保护脊椎为你撑腰 S型环保精细黄麻有胶水退全款 立减 活动优惠 软硬两用 体验双重睡感 10% 免费试睡 保 20年不塌陷 花呗3期免息 顺丰送货入户
137,713810571113,可拆洗薄款15cm弹簧3D透气偏硬护脊席梦思黄麻床垫榻榻米家用,CEFALU旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=713810571113,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=713810571113,https://img.alicdn.com/bao/uploaded/i4/1692273605/O1CN01NGGrLGFdHsI2vH2e_!!4611686018427382725-0-item_pic.jpg,137_713810571113.jpg,0.00 0.00%,0 0.00%,0,0.00,超级立减 甄选 CEFALU 尖货 13-17cm护脊薄床垫 软硬有度睡感可选 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
